chr	locA	locB	strand	gene_Symbol
chr2L	12162739	12163610	+	CG31760
chr2L	12240867	12241780	+	aret
chr2L	12298567	12299394	+	aret
chr2L	12351703	12358261	+	bru-2
chr2L	12351703	12362649	+	bru-2
chr2L	12389189	12389670	+	bru-2
chr2L	12407184	12409623	-	vir-1
chr2L	12457205	12457404	+	bun
chr2L	12516483	12517185	-	bun
chr2L	12536274	12537419	-	bun
chr2L	12691903	12692828	+	CG5525
chr2L	12978119	12978235	+	Vha68-2
chr2L	12997461	12997923	-	CG12404
chr2L	13364786	13364891	-	Nnp-1
chr2L	13422991	13423345	+	NA
chr2L	13508620	13509792	-	B4
chr2L	13609790	13610578	+	kuz
chr2L	13630705	13631184	+	kuz
chr2L	13637287	13637634	+	kuz
chr2L	14195732	14197867	-	smi35A
chr2L	14196926	14197867	-	smi35A
chr2L	14278218	14288958	+	wb
chr2L	14601686	14602000	-	osp
chr2L	14610683	14611916	-	osp
chr2L	14615569	14616907	+	Adh
chr2L	14912872	14913333	-	CG42313
chr2L	14916099	14917484	-	CG42313
chr2L	14932513	14936824	-	CG42313
chr2L	14932513	14939028	-	CG42313
chr2L	14938910	14941644	-	CG42313
chr2L	14983949	14984253	-	mol
chr2L	14983949	14992506	-	mol
chr2L	15578882	15580850	+	kek3
chr2L	15737627	15737964	-	CycE
chr2L	15737627	15740899	-	CycE
chr2L	16013952	16014288	+	beat-Ic
chr2L	16034187	16034713	+	beat-Ic
chr2L	16037140	16037526	+	beat-Ic
chr2L	16174415	16175007	+	Ca-alpha1D
chr2L	16278862	16279169	-	crp
chr2L	16322959	16323517	-	cact
chr2L	16342609	16343304	-	chif
chr2L	16344425	16349472	-	chif
chr2L	16472127	16473072	-	dac
chr2L	16509753	16509957	-	CG5953
chr2L	16527389	16528439	-	CG5953
chr2L	16557878	16559944	+	CG42389
chr2L	16621835	16622841	+	CG42389
chr2L	16690901	16691192	+	grp
chr2L	16690901	16692124	+	grp
chr2L	16698138	16698348	+	grp
chr2L	16749055	16750490	+	CG17912
chr2L	16751646	16751755	+	NA
chr2L	16769477	16769602	+	Mhc
chr2L	16820111	16820930	+	mdy
chr2L	16976489	16977050	+	beat-IIIb
chr2L	16976489	16986150	+	beat-IIIb
chr2L	17657062	17659614	-	CadN
chr2L	17664086	17665540	-	CadN
chr2L	17666611	17711409	-	CadN
chr2L	17737963	17739713	-	CadN
chr2L	17809237	17810938	-	CadN2
chr2L	17809237	17815717	-	CadN2
chr2L	17863936	17864685	-	NA
chr2L	17863944	17864350	-	NA
chr2L	17864143	17864443	+	NA
chr2L	17864234	17864447	-	NA
chr2L	17864337	17864447	-	NA
chr2L	17864444	17864566	+	NA
chr2L	18051460	18063932	+	rdo
chr2L	18062361	18063932	+	rdo
chr2L	18062361	18065730	+	rdo
chr2L	18064633	18065730	+	rdo
chr2L	18200622	18215846	-	CG42400
chr2L	18209768	18211298	-	CG31786
chr2L	18209768	18215846	-	CG31786
chr2L	18215463	18215846	-	CG31786
chr2L	18347734	18348387	+	Fas3
chr2L	18450763	18451075	+	bsf
chr2L	18455777	18471197	+	NA
chr2L	18538029	18540768	-	Pde11
chr2L	18539522	18542003	-	Pde11
chr2L	18539522	18543715	-	Pde11
chr2L	18540628	18543715	-	Pde11
chr2L	18704645	18704902	+	CG10373
chr2L	18704704	18704902	+	CG10373
chr2L	18810318	18810503	-	CG10570
chr2L	18864094	18864523	-	tup
chr2L	18919924	18920616	-	ssp3
chr2L	18984459	18984565	+	CG10641
chr2L	19387537	19388313	-	CG17549
chr2L	19403998	19410643	-	Pax
chr2L	19409403	19410643	-	Pax
chr2L	19514930	19516033	-	CG10186
chr2L	19600857	19611626	+	Lar
chr2L	19714888	19715953	+	Lar
chr2L	19719702	19719999	+	Lar
chr2L	19907761	19910432	+	sick
chr2L	19908758	19910432	+	sick
chr2L	19925382	19926512	+	sick
chr2L	19925382	19929354	+	sick
chr2L	20054076	20055109	+	sNPF
chr2L	20334080	20336549	+	spir
chr2L	20334620	20336549	+	spir
chr2L	20339244	20339693	+	spir
chr2L	20339244	20340112	+	spir
chr2L	20360012	20360812	+	rtGEF
chr2L	20420318	20421117	+	Arc-p34
chr2L	20431923	20432729	+	CG31688
chr2L	20690142	20690456	-	Hr38
chr2L	20760524	20760841	+	dia
chr2L	20876911	20877677	-	CG9339
chr2L	20881986	20882464	-	CG9339
chr2L	20903015	20903559	-	CG9339
chr2L	21059340	21060037	-	CG9265
chr2L	21062260	21062608	-	CG9265
chr2L	21124134	21125439	+	Nhe2
chr2L	21124134	21129082	+	Nhe2
chr2L	21213222	21214647	-	CG8678
chr2L	21213916	21214647	-	CG8678
chr2L	21273323	21274429	+	CG8671
chr2L	21273323	21275806	+	CG8671
chr2L	21275378	21275806	+	CG8671
chr2L	21297694	21301527	-	Mio
chr2L	21311752	21312208	+	crc
chr2L	21311829	21312032	-	crc
chr2L	21382018	21385397	+	nrv3
chr2L	21384454	21385397	+	nrv3
chr2L	21384454	21389079	+	nrv3
chr2L	21615102	21615676	-	CG2201
chr2L	21616181	21616573	-	CG2201
chr2L	21616181	21618110	-	CG2201
chr2L	21617279	21618110	-	CG2201
chr2L	21627841	21628105	-	Df31
chr2L	21634419	21635210	+	Ac3
chr2L	21634419	21635731	+	Ac3
chr2L	21678181	21678328	-	Ef2b
chr2L	21678181	21678379	-	Ef2b
chr2L	21678562	21678810	-	Ef2b
chr2L	21678562	21679105	-	Ef2b
chr2L	21678606	21678810	-	Ef2b
chr2L	21678652	21678772	+	Ef2b
chr2L	21678819	21679234	-	Ef2b
chr2L	21678887	21679000	-	Ef2b
chr2L	21679112	21679234	-	Ef2b
chr2L	21679112	21679393	-	Ef2b
chr2L	21679116	21679393	-	Ef2b
chr2L	21679234	21679564	+	Ef2b
chr2L	21679288	21679768	-	Ef2b
chr2L	21679531	21680044	-	Ef2b
chr2L	21679535	21679777	+	Ef2b
chr2L	21679555	21679777	+	Ef2b
chr2L	21679555	21679867	+	Ef2b
chr2L	21679597	21679768	-	Ef2b
chr2L	21679773	21680003	+	Ef2b
chr2L	21679773	21680047	+	Ef2b
chr2L	21679781	21680031	-	Ef2b
chr2L	21679789	21680027	+	Ef2b
chr2L	21679794	21680071	-	Ef2b
chr2L	21688473	21701180	+	CG31619
chr2L	21688473	21701938	+	CG31619
chr2L	21688473	21704603	+	CG31619
chr2L	21708986	21709485	+	CG31619
chr2L	21710563	21711410	+	CG31619
chr2L	21710563	21713308	+	CG31619
chr2L	21710563	21717672	+	CG31619
chr2L	21712768	21717672	+	CG31619
chr2L	21716324	21717672	+	CG31619
chr2L	21719513	21720481	+	CG31619
chr2L	21719513	21725445	+	CG31619
chr2L	21719513	21727573	+	CG31619
chr2L	21725067	21727573	+	CG31619
chr2L	21727005	21727573	+	CG31619
chr2L	21727005	21728235	+	CG31619
chr2L	21772999	21775446	-	CG31612
chr2L	22179486	22179789	+	CG3635
chr2L	22247202	22247325	-	RpL21
chr2L	22247202	22247345	-	RpL21
chr2L	22257652	22258360	+	Tif-IA
chr2L	22363429	22364294	+	CG17018
chr2L	22364097	22364279	+	CG17018
chr2L	22428348	22429110	-	RpL5
chr2L	22428400	22428537	+	RpL5
chr2L	22428512	22429023	+	RpL5
chr2L	22428548	22428680	-	RpL5
chr2L	22535860	22536614	-	CG40006
chr2L	22580737	22581341	-	CG40006
chr2L	22611099	22611707	-	CG40006
chr2L	22741701	22742502	+	CG17715
chr2L	22820169	22820497	+	lt
chr2L	22820169	22820635	+	lt
chr2L	22820169	22820804	+	lt
chr2L	22820169	22820819	+	lt
chr2R	223881	266660	-	Gprk1
chr2R	238053	238723	-	Gprk1
chr2R	265873	266660	-	Gprk1
chr2R	295485	297250	-	Gprk1
chr2R	447865	450586	+	Stlk
chr2R	450349	450586	+	Stlk
chr2R	486773	494825	+	p120ctn
chr2R	486773	496780	+	p120ctn
chr2R	494268	494825	+	p120ctn
chr2R	494268	496780	+	p120ctn
chr2R	582623	583115	-	Nipped-B
chr2R	587893	588766	-	Nipped-B
chr2R	599318	600280	-	Nipped-B
chr2R	607274	609830	-	Nipped-B
chr2R	837181	863371	+	CG33492
chr2R	981495	981600	+	CG3107
chr2R	1008267	1009157	-	gus
chr2R	1073079	1075861	-	Nipped-A
chr2R	1088950	1091783	-	Nipped-A
chr2R	1091256	1091783	-	Nipped-A
chr2R	1129400	1130087	-	Nipped-A
chr2R	1129400	1133642	-	Nipped-A
chr2R	1203773	1208120	+	Ogt
chr2R	1207512	1208120	+	Ogt
chr2R	1207520	1208120	+	Ogt
chr2R	1213308	1215533	+	Ogt
chr2R	1311254	1311744	+	CG42345
chr2R	1327074	1328575	+	CG42345
chr2R	1327074	1334593	+	CG42345
chr2R	1371347	1372158	-	CG30440
chr2R	1371347	1379618	-	CG30440
chr2R	1373375	1379618	-	CG30440
chr2R	1378419	1379618	-	CG30440
chr2R	1572308	1575543	-	scarface
chr2R	1587064	1587184	+	CG17337
chr2R	1590371	1593069	+	vlc
chr2R	1594063	1594165	-	ap
chr2R	1594211	1594323	-	ap
chr2R	1599844	1605271	-	ap
chr2R	1604153	1605268	-	ap
chr2R	1604153	1605271	-	ap
chr2R	1604786	1605271	-	ap
chr2R	1613325	1614921	-	ap
chr2R	1651317	1651572	+	gp210
chr2R	1651887	1652116	+	gp210
chr2R	1652992	1654301	+	gp210
chr2R	1653957	1658110	+	gp210
chr2R	1654789	1655565	+	gp210
chr2R	1659420	1660228	+	gp210
chr2R	1734097	1734975	+	dpr12
chr2R	1740450	1743187	+	dpr12
chr2R	1741216	1743187	+	dpr12
chr2R	1897883	1898273	+	Src42A
chr2R	1919602	1920226	-	SCAP
chr2R	2039334	2040055	-	EcR
chr2R	2136916	2138357	+	Pld
chr2R	2513123	2513390	-	Vha16
chr2R	2514030	2514373	+	Vha16
chr2R	2514678	2514890	-	Vha16
chr2R	2621132	2622416	-	l(2)01289
chr2R	2643289	2643419	-	Eb1
chr2R	2679820	2680126	-	Epac
chr2R	2679820	2684917	-	Epac
chr2R	2816013	2817875	-	CG33558
chr2R	2816577	2817603	-	CG33558
chr2R	2822310	2823700	-	CG33558
chr2R	2825889	2826848	-	CG33558
chr2R	2825889	2850600	-	CG33558
chr2R	2850384	2850600	-	CG33558
chr2R	3005921	3008157	+	esn
chr2R	3007310	3008157	+	esn
chr2R	3173173	3173533	+	NA
chr2R	3235353	3236480	-	Dscam
chr2R	3235353	3254471	-	Dscam
chr2R	3246726	3252987	-	Dscam
chr2R	3249222	3253609	-	Dscam
chr2R	3311689	3313744	+	so
chr2R	3356864	3358387	-	Aldh-III
chr2R	3368883	3369075	-	NA
chr2R	3489936	3491024	-	CG1358
chr2R	3489936	3493749	-	CG1358
chr2R	3521720	3522705	+	CG30492
chr2R	3521720	3526410	+	CG30492
chr2R	3526102	3528122	+	CG30492
chr2R	3566074	3567435	-	CG1399
chr2R	3572478	3575798	-	CG1399
chr2R	3574048	3575798	-	CG1399
chr2R	3613193	3613500	-	CG18812
chr2R	3613193	3617213	-	CG18812
chr2R	3615446	3617213	-	CG18812
chr2R	3734936	3738557	-	Dgk
chr2R	3740910	3742225	-	Dgk
chr2R	3835109	3836025	-	CG14764
chr2R	3862569	3862738	-	CG11198
chr2R	3870145	3872956	-	CG11198
chr2R	3872385	3872956	-	CG11198
chr2R	3920809	3922045	+	Optix
chr2R	3962977	3963953	+	lig
chr2R	4026442	4026546	-	CG8709
chr2R	4026442	4027654	-	CG8709
chr2R	4235005	4235799	+	CG14755
chr2R	4487862	4566639	+	l(2)44DEa
chr2R	4562151	4562376	+	l(2)44DEa
chr2R	4562151	4564112	+	l(2)44DEa
chr2R	4562151	4566639	+	l(2)44DEa
chr2R	4565934	4566639	+	l(2)44DEa
chr2R	4605835	4605958	+	CG14767
chr2R	4707085	4709437	+	sns
chr2R	4750347	4753564	+	Rya-r44F
chr2R	4937384	4938656	-	CG13743
chr2R	5013055	5013718	-	CG18659
chr2R	5119252	5120237	-	hig
chr2R	5152994	5155481	-	Pkn
chr2R	5197053	5197341	+	NA
chr2R	5204797	5208715	-	CG13739
chr2R	5285255	5285433	+	CG8801
chr2R	5291211	5291963	-	wun
chr2R	5336590	5337779	+	Camta
chr2R	5354376	5357669	+	Camta
chr2R	5392508	5392973	+	brp
chr2R	5392508	5396675	+	brp
chr2R	5392631	5396675	+	brp
chr2R	5397392	5398704	+	brp
chr2R	5414792	5416132	+	brp
chr2R	5414792	5417711	+	brp
chr2R	5419850	5420489	+	brp
chr2R	5502331	5503008	-	Mmp2
chr2R	5554869	5555279	-	Mmp2
chr2R	5643542	5647519	+	trpl
chr2R	5659324	5660154	-	CG1688
chr2R	5663243	5664711	-	CG1688
chr2R	5805442	5806567	-	Mef2
chr2R	5805973	5806567	-	Mef2
chr2R	5821823	5828458	-	Mef2
chr2R	5887238	5911707	-	Pka-R2
chr2R	5924937	5925038	+	CG18445
chr2R	5991760	5992572	+	14-3-3zeta
chr2R	5991760	5993330	+	14-3-3zeta
chr2R	5995790	5995934	+	14-3-3zeta
chr2R	6016085	6016534	+	gem
chr2R	6023246	6023601	+	gem
chr2R	6182116	6183552	+	CAP
chr2R	6212694	6213399	-	CG34363
chr2R	6212694	6217579	-	CG34363
chr2R	6216287	6217579	-	CG34363
chr2R	6216287	6219872	-	CG34363
chr2R	6216362	6217579	-	CG34363
chr2R	6216362	6219872	-	CG34363
chr2R	6219178	6219872	-	CG34363
chr2R	6219560	6219872	-	CG34363
chr2R	6226126	6227707	-	CG34363
chr2R	6299740	6300401	-	CG12897
chr2R	6335703	6336137	+	G-oalpha47A
chr2R	6342788	6343662	-	Cyp49a1
chr2R	6403339	6406880	-	lola
chr2R	6403339	6421473	-	lola
chr2R	6419543	6421473	-	lola
chr2R	6419543	6647420	-	lola
chr2R	6449190	6449695	+	psq
chr2R	6449200	6449695	+	psq
chr2R	6628357	6629578	-	CG33144
chr2R	6642413	6645049	-	CG33144
chr2R	6642413	6647420	-	CG33144
chr2R	6642413	6654055	-	CG33144
chr2R	6653973	6681989	-	CG33144
chr2R	6670978	6681989	-	mthl13
chr2R	6681348	6681989	-	NA
chr2R	6681629	6681989	-	NA
chr2R	6718882	6719218	-	CG12344
chr2R	6735957	6736765	-	CG30015
chr2R	6743628	6750460	-	CG30015
chr2R	6877132	6878629	-	luna
chr2R	6973135	6987619	-	luna
chr2R	6987036	6987619	-	luna
chr2R	7003544	7004537	-	CG30490
chr2R	7061739	7077901	+	shn
chr2R	7469132	7469650	-	tou
chr2R	7471539	7471836	-	tou
chr2R	7729797	7729972	+	S2P
chr2R	7753718	7754153	-	Damm
chr2R	7765315	7765618	+	CG13185
chr2R	7781065	7781253	+	Ef1alpha48D
chr2R	7781100	7781605	-	Ef1alpha48D
chr2R	7781187	7781575	+	Ef1alpha48D
chr2R	7782201	7782508	+	Ef1alpha48D
chr2R	7782405	7782825	-	Ef1alpha48D
chr2R	7782486	7782926	-	Ef1alpha48D
chr2R	7782565	7782825	-	Ef1alpha48D
chr2R	7782575	7782933	-	Ef1alpha48D
chr2R	7782578	7782819	+	Ef1alpha48D
chr2R	7782611	7782825	-	Ef1alpha48D
chr2R	7782611	7782974	-	Ef1alpha48D
chr2R	7782633	7782914	+	Ef1alpha48D
chr2R	7782638	7782825	-	Ef1alpha48D
chr2R	7782638	7782893	-	Ef1alpha48D
chr2R	7782638	7782895	-	Ef1alpha48D
chr2R	7782645	7782897	+	Ef1alpha48D
chr2R	7782645	7782914	+	Ef1alpha48D
chr2R	7782669	7782914	+	Ef1alpha48D
chr2R	7782693	7782914	+	Ef1alpha48D
chr2R	7782726	7782830	+	Ef1alpha48D
chr2R	7901263	7901629	-	otk
chr2R	8152247	8156940	+	Cam
chr2R	8335263	8337287	+	Dyb
chr2R	8372773	8373815	+	CG12370
chr2R	8461310	8461560	-	CG8594
chr2R	8466633	8468117	-	Sin3A
chr2R	8503506	8503619	-	Galpha49B
chr2R	8505299	8505816	+	Galpha49B
chr2R	8609809	8610511	+	NA
chr2R	8671853	8672247	+	sca
chr2R	8758479	8758696	-	bic
chr2R	8769487	8769925	+	Aats-asp
chr2R	8778971	8780556	+	vg
chr2R	8864821	8865726	-	Psc
chr2R	8886781	8891888	+	Su(z)2
chr2R	8887303	8887889	+	Su(z)2
chr2R	8954636	8955741	-	Drl-2
chr2R	8954858	8955741	-	Drl-2
chr2R	9068494	9070717	-	seq
chr2R	9068494	9070739	-	seq
chr2R	9072281	9072680	-	CG17724
chr2R	9072281	9075413	-	CG17724
chr2R	9073288	9075413	-	CG17724
chr2R	9073777	9075413	-	CG33182
chr2R	9119442	9119552	-	CG4670
chr2R	9164948	9165675	-	CG32843
chr2R	9224456	9224853	-	NA
chr2R	9330438	9332643	-	cnn
chr2R	9331932	9332643	-	cnn
chr2R	9378939	9379400	-	CG6016
chr2R	9389317	9415891	-	drk
chr2R	9478104	9479383	-	CG6191
chr2R	9593939	9594703	+	fas
chr2R	9600633	9606720	+	fas
chr2R	9613050	9613783	+	fas
chr2R	9701304	9703153	+	stj
chr2R	9755660	9755854	-	shot
chr2R	9757364	9758843	-	shot
chr2R	9758798	9761964	-	shot
chr2R	9761303	9761673	-	shot
chr2R	9772802	9772955	+	shot
chr2R	9777802	9777924	-	shot
chr2R	9804358	9805415	-	shot
chr2R	9860651	9860778	-	CG6701
chr2R	9861171	9861787	-	CG6701
chr2R	9897667	9898686	+	mam
chr2R	9926214	9928284	+	mam
chr2R	9979497	9980006	-	Prosap
chr2R	9979497	10001801	-	Prosap
chr2R	9979497	10012710	-	Prosap
chr2R	10037730	10039431	-	CG8233
chr2R	10414671	10442580	+	ttv
chr2R	10450515	10450890	+	ttv
chr2R	10450515	10452578	+	ttv
chr2R	10571053	10572112	-	mspo
chr2R	10681006	10681345	-	kn
chr2R	10797728	10798877	-	CG10249
chr2R	10830703	10831563	+	CG10257
chr2R	10848890	10849346	-	aPKC
chr2R	10859234	10860261	+	CG12424
chr2R	11025606	11027600	+	chn
chr2R	11119815	11124010	-	Fs
chr2R	11155346	11160893	-	CG34123
chr2R	11157037	11159044	-	CG34123
